added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
7/20/26,1115575012351858688,Baseball,129,Mark Vientos,New York Mets,2025,Topps,2025 Topps Chrome - Refractors,,RAW,https://storage.googleapis.com/collx-product-images/1115575012351858688-1-Ob5G.jpg,https://storage.googleapis.com/collx-product-images/1115575012351858688-2-uNmw.jpg,,1,,,Mule Sauce,,1
7/20/26,1115574996656773120,Baseball,228,Nelson Santovenia,Montreal Expos,1989,Topps,1989 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115574996656773120-1-46uv.jpg,https://storage.googleapis.com/collx-product-images/1115574996656773120-2-IsVg.jpg,0.73,0.5,,,Mule Sauce,,1
7/20/26,1115575001027237888,Baseball,228,Nelson Santovenia,Montreal Expos,1989,Topps,1989 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115575001027237888-1-wcYJ.jpg,https://storage.googleapis.com/collx-product-images/1115575001027237888-2-iqKm.jpg,0.73,0.5,,,Mule Sauce,,1
7/20/26,1115574989048305664,Baseball,21,Max Scherzer,New York Mets,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574989048305664-1-92rP.jpg,https://storage.googleapis.com/collx-product-images/1115574989048305664-2-DBwI.jpg,0.11,0.25,,,Mule Sauce,,1
7/20/26,1115574992915453952,Baseball,291,Mets Leaders,New York Mets,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574992915453952-1-BibZ.jpg,https://storage.googleapis.com/collx-product-images/1115574992915453952-2-C0J9.jpg,1.32,1.5,,,Mule Sauce,,1
7/20/26,1115574981565667328,Baseball,46,Mark Portugal,Minnesota Twins,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574981565667328-1-hFvs.jpg,https://storage.googleapis.com/collx-product-images/1115574981565667328-2-37da.jpg,1.75,2,,,Mule Sauce,,1
7/20/26,1115574985290209280,Baseball,550,Mark Vientos,New York Mets,2023,Topps,2023 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115574985290209280-1-RP18.jpg,https://storage.googleapis.com/collx-product-images/1115574985290209280-2-CiUS.jpg,1.35,1.5,,,Mule Sauce,,1
7/20/26,1115574973890091008,Baseball,253,Max Kepler,Minnesota Twins,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574973890091008-1-fpnF.jpg,https://storage.googleapis.com/collx-product-images/1115574973890091008-2-s9KT.jpg,1.45,1.5,,,Mule Sauce,,1
7/20/26,1115574977639798784,Baseball,46,Mark Portugal,Minnesota Twins,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115574977639798784-1-aI2s.jpg,https://storage.googleapis.com/collx-product-images/1115574977639798784-2-MoWk.jpg,1.75,2,,,Mule Sauce,,1
7/20/26,1115574916293908480,Baseball,420,Luis Arraez,San Francisco Giants,2026,Topps,2026 Topps - Sandglitter,,RAW,https://storage.googleapis.com/collx-product-images/1115574916293908480-1-O1Si.jpg,https://storage.googleapis.com/collx-product-images/1115574916293908480-2-JTqE.jpg,1.13,1,,,Mule Sauce,,1
